// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
50291	14387161	9.800707	0.257232	-0.034791	-0.005557	0.001337	-0.002255
50292	14387186	9.768665	0.270190	-0.040385	-0.002007	0.000566	-0.000341
50293	14387211	9.796278	0.262166	-0.022784	-0.005881	0.001660	-0.002439
50294	14387236	9.804914	0.228956	-0.042527	0.001298	-0.001130	-0.004981
50295	14387261	9.789519	0.226360	-0.010364	-0.005171	-0.004922	-0.003119
50296	14387286	9.810798	0.243863	-0.021925	-0.009158	-0.002277	-0.002009
50297	14387311	9.818488	0.237275	-0.020499	-0.004761	-0.001356	-0.000991
50298	14387336	9.782516	0.274137	0.022798	-0.001794	0.000180	-0.000852
50299	14387361	9.811423	0.237405	-0.032920	-0.001778	0.001402	-0.001946
50300	14387386	9.798905	0.237876	-0.011852	-0.005312	-0.004601	-0.003889
50301	14387411	9.791054	0.244482	0.011755	-0.008245	-0.000183	0.003324
50302	14387436	9.796582	0.231132	-0.007425	-0.004123	0.000721	-0.002328
50303	14387461	9.790886	0.235495	-0.019819	-0.005522	0.004706	-0.000823
50304	14387486	9.806413	0.244022	-0.007053	0.001256	-0.001250	0.000212
50305	14387511	9.790455	0.230780	-0.017533	-0.006339	-0.004432	-0.003499
50306	14387536	9.799701	0.239030	0.010727	-0.002909	-0.001860	-0.008886
50307	14387561	9.791213	0.246886	-0.020341	-0.001238	0.000770	-0.000402
50308	14387586	9.795117	0.239778	-0.019484	-0.001501	-0.001232	0.000226
50309	14387611	9.824268	0.225695	-0.008080	-0.000805	-0.000176	0.007924
50310	14387636	9.816216	0.227303	-0.017669	-0.007643	-0.003678	-0.003430
50311	14387661	9.790882	0.244330	-0.036666	-0.006382	-0.001006	-0.004320
50312	14387686	9.818525	0.234889	-0.021043	0.003041	-0.004895	0.002949
50313	14387711	9.787732	0.253330	-0.008402	-0.002576	-0.001453	-0.000159
50314	14387736	9.818755	0.221829	-0.031952	-0.002909	0.002678	-0.003797
50315	14387761	9.816061	0.216321	-0.046920	0.000814	-0.003850	-0.002360
50316	14387786	9.788518	0.245852	-0.043894	-0.001831	-0.003250	-0.003187
50317	14387811	9.801449	0.250508	-0.063596	-0.000945	-0.002381	0.002849
