// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
52710	11170836	9.803287	0.308362	-0.015854	-0.005870	-0.002089	0.003514
52711	11170861	9.778044	0.304211	-0.004725	-0.008300	-0.005054	-0.004895
52712	11170886	9.809387	0.275206	-0.011051	-0.005424	-0.000148	0.000513
52713	11170911	9.788503	0.312040	-0.018124	-0.004618	0.000648	0.002052
52714	11170936	9.785286	0.301121	-0.016210	-0.005203	0.000434	-0.003588
52715	11170961	9.773252	0.312380	-0.016630	-0.010780	-0.001347	-0.004548
52716	11170986	9.787655	0.295680	-0.002790	-0.004357	0.000584	0.000769
52717	11171011	9.805222	0.308014	-0.019190	-0.004444	-0.000776	0.002167
52718	11171036	9.771596	0.307652	-0.049238	-0.004983	-0.002280	-0.002261
52719	11171061	9.790237	0.290802	-0.024864	-0.009045	-0.003307	0.001848
52720	11171086	9.821690	0.284937	-0.017351	-0.005400	-0.001115	0.000629
52721	11171111	9.795427	0.249422	-0.012372	-0.003357	0.003383	0.000457
52722	11171136	9.821853	0.267301	-0.007775	0.001331	-0.001779	-0.003821
52723	11171161	9.806770	0.256650	-0.010099	-0.005297	-0.002405	0.000301
52724	11171186	9.795337	0.257033	-0.010982	-0.007236	-0.001995	-0.002192
52725	11171211	9.807616	0.269615	-0.020594	-0.005890	0.000300	-0.000452
52726	11171236	9.796904	0.260356	-0.040719	-0.005057	-0.001955	-0.001301
52727	11171261	9.798244	0.264571	-0.034494	-0.004432	-0.001621	-0.003545
52728	11171286	9.807351	0.253577	-0.022530	-0.006324	-0.000624	-0.004883
52729	11171311	9.792412	0.272944	-0.032545	-0.003657	-0.003794	-0.000094
52730	11171336	9.818968	0.275495	-0.019703	-0.007336	0.001104	-0.003967
52731	11171361	9.795052	0.283711	-0.019580	-0.009283	0.000235	-0.000893
52732	11171386	9.815675	0.275516	-0.027367	-0.006540	0.000675	0.000770
52733	11171411	9.787035	0.278912	-0.023848	-0.001213	0.000186	0.000818
52734	11171436	9.808643	0.295547	-0.007714	-0.004475	-0.001878	0.001071
52735	11171461	9.803688	0.311676	-0.010104	-0.004920	-0.002146	-0.000598
