// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
38433	10813911	-0.166464	9.871233	-0.066157	-0.003341	0.001359	-0.000738
38434	10813936	-0.155062	9.883483	-0.082035	-0.005725	-0.002365	-0.001454
38435	10813961	-0.153288	9.880664	-0.051370	-0.005907	-0.000234	0.000864
38436	10813986	-0.156835	9.865149	-0.063826	-0.002657	0.002675	0.003245
38437	10814011	-0.156672	9.886969	-0.063318	-0.005008	-0.002615	-0.001971
38438	10814036	-0.159363	9.894955	-0.029319	-0.002943	0.001048	-0.000419
38439	10814061	-0.126534	9.871477	-0.049582	-0.005411	-0.002031	-0.000687
38440	10814086	-0.128024	9.875645	-0.044243	-0.009945	-0.000106	0.000045
38441	10814111	-0.146571	9.876932	-0.050414	-0.004552	-0.000335	0.002272
38442	10814136	-0.145276	9.884532	-0.049447	-0.009422	-0.000554	-0.001501
38443	10814161	-0.152862	9.867017	-0.027372	-0.006618	-0.004582	-0.004800
38444	10814186	-0.120750	9.855721	-0.038124	-0.001115	-0.004615	-0.004692
38445	10814211	-0.147071	9.867090	-0.027395	-0.006951	-0.001606	0.001113
38446	10814236	-0.135998	9.867646	-0.054794	-0.008281	0.001855	-0.001626
38447	10814261	-0.135326	9.845821	-0.054324	-0.003633	0.000378	-0.004597
38448	10814286	-0.131370	9.878106	-0.052383	-0.008300	-0.003767	-0.000754
38449	10814311	-0.131473	9.886068	-0.046231	-0.003052	-0.001602	-0.000370
38450	10814336	-0.116241	9.872121	-0.020886	-0.002857	-0.002053	-0.002426
38451	10814361	-0.120837	9.873819	-0.042920	-0.002037	0.005333	0.002356
38452	10814386	-0.120739	9.871812	-0.066304	-0.009131	-0.003785	-0.001588
38453	10814411	-0.140915	9.878551	-0.058611	-0.006407	-0.001356	-0.007159
38454	10814436	-0.143420	9.857851	-0.071509	-0.005051	0.000617	-0.003365
38455	10814461	-0.125810	9.867682	-0.080270	-0.004782	-0.001566	-0.000563
38456	10814486	-0.125297	9.884785	-0.049621	-0.003771	-0.007436	-0.002451
38457	10814511	-0.122410	9.850389	-0.062983	-0.006288	-0.002766	-0.003383
38458	10814536	-0.132038	9.861814	-0.073511	-0.007397	-0.004274	-0.005119
38459	10814561	-0.155480	9.878815	-0.087268	-0.007457	-0.000137	-0.002463
38460	10814586	-0.139430	9.879618	-0.064886	-0.004122	0.001599	-0.004454
38461	10814611	-0.143034	9.864928	-0.068596	-0.007613	-0.001369	-0.001958
38462	10814636	-0.140194	9.860569	-0.060486	-0.008196	-0.003123	-0.003764
38463	10814661	-0.146378	9.864868	-0.067662	-0.008005	-0.000918	-0.001255
38464	10814686	-0.124549	9.869301	-0.060162	-0.002979	-0.001997	-0.001399
38465	10814711	-0.122166	9.871904	-0.073595	-0.003807	-0.002469	-0.006017
38466	10814736	-0.140631	9.870805	-0.078231	-0.005125	0.003467	-0.000016
38467	10814761	-0.160801	9.876974	-0.065177	-0.009452	0.000544	0.000753
38468	10814786	-0.136952	9.867237	-0.060064	-0.004368	0.003469	-0.004058
38469	10814811	-0.135281	9.850203	-0.062005	-0.003240	0.002067	-0.004967
38470	10814836	-0.126603	9.844668	-0.064380	-0.009152	-0.001328	-0.002277
38471	10814861	-0.147430	9.869449	-0.057633	-0.002348	-0.001793	-0.002554
38472	10814886	-0.152749	9.879327	-0.056640	-0.004894	-0.001889	0.000720
38473	10814911	-0.139654	9.881425	-0.028412	-0.005604	0.000352	0.001186
38474	10814936	-0.126116	9.863154	-0.032295	-0.007209	0.000189	-0.004782
38475	10814961	-0.166948	9.869216	-0.057494	-0.003645	-0.001295	-0.002481
38476	10814986	-0.123491	9.858794	-0.054805	-0.008008	-0.002855	-0.001267
38477	10815011	-0.150517	9.877193	-0.039387	-0.002675	0.002794	-0.000861
38478	10815036	-0.114294	9.847999	-0.055386	-0.004268	-0.001819	-0.001268
38479	10815061	-0.151339	9.885300	-0.073469	-0.000004	0.001423	0.000601
38480	10815086	-0.144447	9.872127	-0.075479	0.001091	-0.002816	0.001925
38481	10815111	-0.128413	9.871078	-0.056315	-0.002921	0.002398	-0.000286
38482	10815136	-0.128804	9.867930	-0.067256	-0.007309	-0.000781	-0.004269
38483	10815161	-0.152923	9.878588	-0.039315	-0.009426	-0.000493	-0.003430
38484	10815186	-0.147569	9.873803	-0.032659	-0.006218	-0.000359	0.002915
38485	10815211	-0.134834	9.855026	-0.065788	-0.005208	-0.000483	-0.002985
38486	10815236	-0.147244	9.892748	-0.061015	-0.001962	-0.003985	-0.004168
38487	10815261	-0.139339	9.885992	-0.078657	-0.010279	0.000405	0.001650
38488	10815286	-0.101008	9.852965	-0.058802	-0.005242	0.001007	-0.000550
38489	10815311	-0.139280	9.869148	-0.062913	-0.006230	-0.002308	-0.000302
38490	10815336	-0.141990	9.884395	-0.037951	-0.009820	-0.002238	-0.000483
38491	10815361	-0.140105	9.902026	-0.072035	-0.006881	0.000073	-0.001124
38492	10815386	-0.146251	9.873668	-0.084961	-0.004780	-0.001366	0.003932
38493	10815411	-0.157009	9.882802	-0.070511	-0.003405	-0.000511	-0.000171
