// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
29678	13871836	0.117568	-9.744623	-0.063958	-0.005387	-0.005879	-0.004122
29679	13871861	0.109299	-9.739336	-0.043813	-0.007288	0.003974	-0.004707
29680	13871886	0.110354	-9.745900	-0.048101	-0.004134	-0.002949	-0.005005
29681	13871911	0.128364	-9.743333	-0.045753	-0.003193	-0.001764	0.000255
29682	13871936	0.120740	-9.743829	-0.049995	-0.000153	-0.002541	0.002488
29683	13871961	0.123998	-9.739089	-0.047650	-0.000557	-0.002293	0.000885
29684	13871986	0.144245	-9.748536	-0.064971	0.000447	-0.001694	-0.000076
29685	13872011	0.144049	-9.741670	-0.048202	0.001259	-0.002910	0.000362
29686	13872036	0.120681	-9.743047	-0.039523	-0.004102	-0.001386	0.000253
29687	13872061	0.128488	-9.746403	-0.061513	0.001015	-0.005375	0.000034
29688	13872086	0.108257	-9.741731	-0.042275	-0.000636	0.000623	0.003532
29689	13872111	0.126599	-9.755142	-0.050558	-0.004178	-0.002936	0.002497
29690	13872136	0.141975	-9.730869	-0.042971	-0.001310	-0.000504	0.000384
29691	13872161	0.140673	-9.748668	-0.028612	-0.005466	0.001240	0.001940
29692	13872186	0.122056	-9.746546	-0.026595	-0.006115	0.001551	-0.000872
29693	13872211	0.111542	-9.743799	-0.028907	-0.002655	-0.000130	0.003281
29694	13872236	0.122281	-9.754771	-0.047164	-0.002879	0.000511	0.001612
