// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
23597	10443011	-0.048400	0.053161	-9.830849	-0.008966	0.003116	0.000457
23598	10443036	0.015031	0.042281	-9.816319	-0.004013	0.002368	0.001520
23599	10443061	-0.024301	0.071570	-9.838168	-0.004488	-0.001402	-0.006573
23600	10443086	-0.017675	0.068920	-9.817105	-0.002135	0.003821	-0.001162
23601	10443111	-0.006695	0.029796	-9.825790	-0.001211	0.000669	0.000289
23602	10443136	-0.016759	0.063009	-9.800344	-0.004418	0.000806	-0.001244
23603	10443161	-0.001869	0.045187	-9.798007	-0.009018	-0.001140	0.002357
23604	10443186	0.006793	0.052174	-9.819621	-0.000086	-0.000338	-0.000297
23605	10443211	-0.043971	0.068074	-9.811709	-0.005089	-0.001977	0.001702
23606	10443236	-0.029659	0.069331	-9.820407	-0.003596	-0.003123	-0.002988
23607	10443261	-0.035111	0.053498	-9.814149	-0.004730	0.002745	0.000441
23608	10443286	-0.045213	0.069993	-9.847647	-0.001431	-0.000823	-0.002399
23609	10443311	-0.055801	0.090987	-9.860061	-0.005853	0.001749	-0.002190
23610	10443336	-0.063478	0.076163	-9.825991	-0.008497	0.002483	-0.001018
23611	10443361	-0.032104	0.081851	-9.829500	-0.013193	0.001170	0.000203
23612	10443386	-0.041741	0.058931	-9.837598	-0.000997	0.001702	-0.003232
23613	10443411	-0.038665	0.066786	-9.817487	-0.001200	-0.001916	-0.002736
23614	10443436	-0.017263	0.067569	-9.816639	-0.006343	-0.002973	0.000413
23615	10443461	-0.045288	0.088743	-9.799247	-0.006248	-0.004135	-0.001703
23616	10443486	-0.049817	0.082902	-9.823184	-0.006469	-0.002910	0.001638
23617	10443511	-0.037252	0.070183	-9.817492	-0.006530	0.000571	-0.004822
23618	10443536	-0.028639	0.060726	-9.812741	-0.006603	-0.001173	-0.002646
23619	10443561	-0.045952	0.074874	-9.819368	-0.008924	-0.006445	-0.000042
23620	10443586	-0.022901	0.069707	-9.836261	-0.010629	-0.005120	0.000094
23621	10443611	-0.033688	0.064509	-9.846745	-0.005059	0.000532	-0.005016
23622	10443636	-0.034764	0.065133	-9.826611	-0.009836	0.000127	-0.000010
23623	10443661	-0.037862	0.070458	-9.808867	-0.004120	-0.004885	-0.004344
23624	10443686	-0.035181	0.081847	-9.805047	-0.003082	-0.007577	-0.005646
23625	10443711	-0.022471	0.035975	-9.833860	-0.005002	-0.001214	-0.003751
23626	10443736	-0.018035	0.055180	-9.813272	-0.008920	-0.000432	-0.001235
23627	10443761	-0.014140	0.043840	-9.813772	-0.006849	-0.003237	0.001247
23628	10443786	-0.016403	0.053747	-9.844910	-0.008067	-0.001195	-0.001369
23629	10443811	-0.019885	0.054043	-9.834831	-0.004832	-0.004175	0.000593
23630	10443836	-0.013860	0.067639	-9.823370	-0.003135	-0.001046	0.000092
23631	10443861	-0.018934	0.042239	-9.807998	-0.003311	-0.004023	-0.002937
23632	10443886	-0.001304	0.000051	-9.797037	-0.003770	-0.001904	-0.005233
23633	10443911	-0.019139	0.036338	-9.821879	-0.008878	0.002211	-0.003530
23634	10443936	-0.032775	0.043225	-9.789705	-0.006345	0.003229	-0.002116
23635	10443961	-0.028408	0.034617	-9.786850	-0.003353	0.001933	0.002740
23636	10443986	-0.040060	0.059090	-9.813643	-0.000420	-0.004354	-0.001210
23637	10444011	-0.038330	0.040650	-9.813171	-0.005077	0.001773	0.003067
23638	10444036	-0.031981	0.062534	-9.811769	-0.005676	-0.001597	0.003177
